,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
222,close,4.0,0.280451307187287,0.263222660401435,6.0,196.0,315.0,4H,0.0665906996698249
223,HLC/3,12.0,0.2704171391179646,0.1799755487811125,2.0,157.0,284.0,4H,0.0663436951679693
224,open,110.0,0.2718954272938764,0.2671768575708071,1.0,80.0,180.0,4H,0.066234903951141
225,high,113.0,0.275743772466064,0.2579484327130869,3.0,87.0,439.0,4H,0.065770760849577
226,HLCC/4,92.0,0.148346449697885,0.1316481810267074,2.0,37.0,437.0,4H,0.0649042822890151
227,HLC/3,13.0,0.2588039053597678,0.2505384347715202,5.0,260.0,126.0,4H,0.0637727373624075
228,HLC/3,142.0,0.1237076008533406,0.1290203727975011,2.0,29.0,398.0,4H,0.0634441456051056
229,HL/2,218.0,0.1340690901591091,0.134862111391112,6.0,17.0,110.0,4H,0.0632580136801526
230,HL/2,64.0,0.224793256402587,0.1843552663248932,2.0,91.0,192.0,4H,0.0628825327628639
231,OHLC/4,73.0,0.2181745621202093,0.1270256073088393,1.0,92.0,71.0,4H,0.0605241166991413
232,OHLC/4,13.0,0.2164137205675065,0.1601802165286047,1.0,145.0,452.0,4H,0.0592490838550228
233,close,114.0,0.1907431074422287,0.1772056836085589,2.0,82.0,215.0,4H,0.0587524412675031
234,HLC/3,14.0,0.2284075562095935,0.218036261572532,3.0,218.0,308.0,4H,0.0584027183599148
235,OHLC/4,10.0,0.1704595313470812,0.1750424352750429,6.0,178.0,294.0,4H,0.0563601269172023
236,OHLC/4,29.0,0.1943454196864868,0.1493598734917246,1.0,136.0,406.0,4H,0.0558452833797654
237,HLC/3,6.0,0.059215595389318,0.0611017595193597,5.0,33.0,38.0,4H,0.0557926536455876
238,open,46.0,0.1665584307966764,0.1280019400236992,5.0,82.0,172.0,4H,0.0554571720729659
239,HLC/3,62.0,0.1627715522078452,0.1013604408910105,3.0,65.0,72.0,4H,0.0548465101179461
240,open,48.0,0.1233808822873758,0.107746332643854,5.0,51.0,320.0,4H,0.0542346953386314
241,OHLC/4,86.0,0.14149193254403,0.1695509324055487,6.0,75.0,358.0,4H,0.0524076119101725
242,HLC/3,57.0,0.1505933640280241,0.0923088687878287,2.0,62.0,24.0,4H,0.0518023849177242
243,HLC/3,16.0,0.1895779559806174,0.175824700536293,4.0,212.0,172.0,4H,0.0510868632934048
